product_id,created_at,title,price,old_price,description,avg_vote_rate,num_votes,labels,related_products,sizes.in_stock,sizes.out_of_stock,features.product_type,features.producer,features.collections,features.age,features.ground_type,features.type_of_class,features.upper,features.type_of_binding,features.boots_with_sock,features.collection,features.color,features.plays_in_these_boots,features.manufacturers_data,features.team,category_name,category_id,features.ball_size,features.connecting_type,features.weigh,features.league
1,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50 Elite Fg - Red,208.99,260.0,"Unlock speed with adidas F50. Designed for maximum utilization of acceleration, movement and speed. The thin Fibertouch upper in these super lightweight adidas Elite football boots features a special Compression Fit Tunnel construction that locks the foot, as well as a 3D Sprintweb texture that keeps the ball close to the foot. The elastic Sprintframe 360 outsole adds energy when accelerating on natural surfaces.",4.4,9.0,[],"[199594, 199576, 199575, 199574, 199573, 197618]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3']","['38', '38 2/3', '47 1/3']",Football Boots,Adidas,Adidas F50,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Adidas Vivid Horizon Pack,Red,Lionel Messi,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
2,2025-04-10T21:36:41.167902+02:00,Cleats Nike Zoom Mercurial Vapor 16 Elite Nu1 Fg - Purple,279.99,,,5.0,22.0,['Last Chance'],"[196655, 195138, 194479, 193292, 191781, 191712]","['39', '40.5']","['38.5', '40', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47']",Football Boots,Nike,Nike Mercurial Vapor,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Nike United 2025,Purple,Robert Lewandowski,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
3,2025-04-10T21:36:41.167902+02:00,Adidas Mundial Team Boots - Black,107.99,150.0,"This is probably one of the most popular shoe models on Polish pitches! Both amateur and more advanced players love them. They were created with the thought of those footballers who compete on artificial turf in mind.What makes adidas Mundial Team shoes stand out is their durability. But we can't forget about the huge comfort that the kangaroo leather upper provides. Add to that the sole that ensures fantastic traction on artificial surfaces and we have the perfect model!Remember that the kangaroo leather upper will break in after the first use, so pay special attention to choosing the right size!How to choose the right football shoes?",4.9,826.0,[],[189641],"['36 2/3', '39 1/3', '40', '44', '44 2/3', '45 1/3', '46', '47 1/3', '48']","['36', '37 1/3', '38', '38 2/3', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '46 2/3', '48 2/3']",Football Boots,Adidas,Adidas Classic,Men,Artificial Grass (Ag/Tf),Professional,Leather,Shoelace,No,Adidas Classic,Black,,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
4,2025-04-10T21:36:41.167902+02:00,Cleats Nike Zoom Mercurial Vapor 16 Elite Fg - Red,269.99,,"Do you have an obsession with speed? The biggest basketball stars have it too. That's why we created the Elite cleats with an improved 3/4 length Air Zoom cushion. This model will provide you and the fastest players with the acceleration you need to break through the defense line. As a result, we have created the most dynamic Mercurial shoes we have ever designed. All to satisfy your pursuit of perfection.Exceptional ball feelNike Gripknit is a grippy material that provides better ball feel. It has a larger surface area, giving you more space to control the ball during high-speed dribbling or to finish the game with an accurate shot on goal. In addition, it conforms to the shape of the foot and provides consistent grip in both wet and dry conditions, ensuring a snug fit comparable to track spikes. The embossed microtexture works with Gripknit technology, conforming to the foot and allowing for even better ball feel.Dynamic gripThe wavy tread pattern created by the cascadingly placed cleats covers a larger surface area in the Air Zoom cushion area and provides proper grip. The largest cleat has the same height as traditional mid cleats, so the grip is consistent everywhere. In addition to the wavy tread, we have also used studs in the shape of fir trees and blades, which make it easier to stop during dynamic turns.Perfect fitThe Flyknit upper is designed for speed. The Atomknit fabric, an extremely lightweight and durable version of Flyknit, is placed on the sides to reduce the weight of the shoes and provide support. By combining Gripknit, Atomknit, and Flyknit technologies, we have created the thinnest Mercurial upper, allowing for better ball feel and faster adaptation to the foot.",4.6,11.0,[],"[196655, 195138, 194469, 193292, 191781, 191712]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46']","['38.5', '47']",Football Boots,Nike,Nike Mercurial Vapor,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Nike Mad Energy Pack,Red,Robert Lewandowski,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
5,2025-04-10T21:36:41.167902+02:00,Cleats Nike Phantom Luna Ii Elite Fg - Blue,168.99,279.99,"Step into a new day and show the world what you're made of. A bright, iridescent plate, futuristic graphics and vibrant colors reminiscent of a gradient sunrise evoke the powerful female game. This is a power that can unite us on and off the pitch. We've taken feedback from athletes to provide the traction you need to play fast and confidently. That's what football is all about after all. The studs designed with craftsmanship in mind allow for precise turns when the game picks up speed and give a national flair.Traction on the pitchThe Nike Cyclone 360 pattern allows for quick and agile movements that give you confidence to dynamically change direction and feel secure when the game picks up speed.Better touchNike Gripknit is a grippy material that provides better ball touch. It covers the first two laces and the increased surface area improves ball control. Additionally, it conforms to the shape of your foot and provides consistent traction in both wet and dry conditions. The embossed micro-texture works with the Gripknit technology to conform to your foot and give you even better ball touch.Proper fit and stabilityThe asymmetrical lacing allows for a larger contact area when dribbling, passing and scoring. The modified lacing pattern increases the adjustability in the midfoot area, making it easier to fit those with a flatter or higher arch. The asymmetrical Flyknit collar provides a snug fit. The subtle drawcords in the collars allow for better ball contact with the ground around the ankle when receiving and passing.",4.9,27.0,['Sale'],"[196683, 195142, 194476, 194471, 191683, 191682, 184807]","['40', '40.5', '41', '42', '42.5', '43', '44']","['38.5', '39', '44.5', '45', '45.5', '46']",Football Boots,Nike,Nike Phantom Luna,"Men, Women",Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Nike Mad Ambition Pack,Blue,,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
6,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Predator Teamgeist Elite Ft Fg - White,299.99,,"Pay tribute to the legendary adidas soccer ball by wearing the limited edition Predator shoes. The HybridTouch upper features curved details and the black, white, and gold colors of the 2006 +Teamgeist ball, as well as the adidas PRIMEKNIT collar without laces and a foldable tongue. The +Teamgeist logo on the heel completes the look.",,,"['New', 'Exclusive']",[],"['40', '40 2/3', '41 1/3', '42', '42 2/3', '44', '44 2/3', '46', '47 1/3']","['38', '38 2/3', '39 1/3', '43 1/3', '45 1/3', '46 2/3']",Football Boots,Adidas,Adidas Predator,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Adidas Teamgeist,White,Jude Bellingham,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
7,2025-04-10T21:36:41.167902+02:00,Adidas Mundial Team Boots - White,107.99,150.0,"Created to provide the highest level of fit and ball contact, the Mundial shoes continue to dominate on the world's fields. Made of suede and leather, the upper of these soccer shoes ensures the right level of comfort and full control. The rubber outsole improves stability on artificial turf and hard surfaces, while the foam midsole cushions every step.",4.9,70.0,[],[95634],"['37 1/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46']","['36', '36 2/3', '38', '38 2/3', '46 2/3', '47 1/3', '48', '48 2/3']",Football Boots,Adidas,Adidas Classic,Men,Artificial Grass (Ag/Tf),Professional,Leather,Shoelace,No,Adidas Classic,White,,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
8,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 7 Ultimate Fg/Ag - Blue,126.99,230.0,"Players, feel what the FUTURE is. These shoes have a redesigned upper that combines PWRPRINT and PWRTAPE technologies with an exceptionally flexible knit and soft double mesh, providing a next-generation fit. The Dynamic Motion System technology ensures incredible grip and agility, useful during quick cuts and changes of pace. When you wear the FUTURE, you are the FUTURE. Start creating it.The upper of this shoe is made of at least 20% recycled material.",4.9,13.0,['Sale'],"[197553, 188045, 188044, 188043]","['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']","['35.5', '36', '37', '37.5', '38', '38.5', '39', '46.5', '47', '48.5']",Football Boots,Puma,Puma Future,Men,"Firm Ground (Fg), Artificial Grass (Ag/Tf)",Professional,Synthetic,Shoelace,Yes,Puma Formula Pack,Blue,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
9,2025-04-10T21:36:41.167902+02:00,Cleats Nike Zoom Mercurial Superfly 10 Elite Fg - Red,224.99,279.99,"Do you have an obsession with speed? The biggest basketball stars do too. That's why we created the Elite cleats with an enhanced 3/4 length Air Zoom cushion. This model will provide you and the fastest players with the acceleration you need to break through the defense line. As a result, we have created the most dynamic Mercurial shoes we have ever designed. All of this to satisfy your pursuit of perfection.Exceptional ball feelNike Gripknit is a grippy material that provides better ball feel. It has a larger surface area, giving you more space to control the ball during high-speed dribbling or to finish the game with an accurate shot on goal. In addition, it conforms to the shape of your foot and provides consistent grip in both wet and dry conditions, ensuring a snug fit comparable to track spikes. The embossed microtexture works with Gripknit technology, conforming to the foot and allowing for an even better ball feel.Dynamic gripThe wavy tread pattern created by the cascadingly placed cleats covers a larger surface area in the Air Zoom cushion area and provides proper grip. The largest cleat has the same height as traditional mid cleats, so the grip is consistent everywhere. In addition to the wavy tread, we have also used new V-shaped and blade-shaped cleats that make it easier to stop during dynamic turns.Perfect fitThe Flyknit upper is designed with speed in mind. The Atomknit fabric, an extremely lightweight and durable version of Flyknit, is placed on the sides to reduce the weight of the shoes and provide support. By combining Gripknit, Atomknit, and Flyknit technologies, we have created the thinnest Mercurial upper, allowing for better ball feel and a faster fit to the foot. The Dynamic Fit collar is made of soft, flexible material and wraps around the ankle, providing a snug fit.",5.0,2.0,[],"[195139, 194472, 193278, 191707, 191706, 191705]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']","['45.5', '47']",Football Boots,Nike,Nike Mercurial Superfly,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Nike Mad Energy Pack,Red,"Cristiano Ronaldo, Kylian Mbappé","Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
10,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Predator Elite Ft Fg - White,280.0,,"Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goal scoring. The flexible HybridTouch upper has strategically placed Strikeskin rubber fins and a foldable tongue, providing excellent ball control. The Controlframe 2.0 outsole for natural surfaces and the adidas PRIMEKNIT collar provide stability as you give it your all.",5.0,1.0,['New'],"[198980, 197910, 197896, 197895, 197894, 194255]","['38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46']","['46 2/3', '47 1/3']",Football Boots,Adidas,Adidas Predator,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Adidas Celestial Victory,White,Jude Bellingham,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
