product_id;Product Type:;Producer:;Collections:;Age Group:;Ground type:;Class:;Upper:;Type of binding:;Boots with sock:;Collection:;Color:;Plays in these boots:;Manufacturer's Data:;Team:
1;Football boots;adidas;adidas F50;Men;Firm Ground (FG);Professional;Synthetic;Lack;No;adidas Pure Victory;White;Lionel Messi;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
2;Football boots;Nike;Nike Mercurial Vapor;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;Nike Mad Ambition Pack;sky blue;Robert Lewandowski;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
3;Football boots;Nike;Nike Mercurial Vapor;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;Nike Shadow Pack 2024;Black;Robert Lewandowski;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
4;Football boots;adidas;adidas Classic;Men;Artificial Grass (AG/TF);Professional;Leather;Shoelace;No;adidas Classic;Black;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
5;Football boots;Nike;Nike Mercurial Vapor;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;Nike Mad Energy Pack;Red;Robert Lewandowski;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
6;Football boots;Nike;Nike Phantom Luna;Men, Women;Firm Ground (FG);Professional;Synthetic;Shoelace;Yes;Nike Shadow Pack 2024;Black;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
7;Football boots;Nike;Nike Phantom GX;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;Nike Mad Voltage Pack;Gray, Lime;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
8;Football boots;adidas;adidas Predator;Men;Firm Ground (FG);Professional;Synthetic;Lack;No;adidas Stealth Victory;Black;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
9;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Lack;No;adidas Stealth Victory;Black;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
10;Football boots;adidas;adidas Predator;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;adidas Stealth Victory;Black;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
